Timestamp,Email Address,Pick a center (group 1),Pick a center (group 2),Pick a center  (group  3),Pick a center  (group  4),Pick a center  (group 5),Pick a center  (group  6),Pick a center  (group  7),Pick a center  (group  8),Pick a winger  (group  1),Pick a winger  (group  2),Pick a winger  (group 3),Pick a winger  (group  4),Pick a winger  (group  5),Pick a winger  (group  6),Pick a winger  (group  7),Pick a winger  (group  8),Pick a winger  (group  9),Pick a winger  (group  10),Pick a defenseman  (group 1),Pick a defenseman  (group 2),Pick a defenseman  (group  3),Pick a defenseman  (group  4),Pick a defenseman  (group  5),Pick a defenseman  (group  6),Pick a goalie  (group  1),Pick a goalie  (group  2),Pick a goalie  (group  3),Your name (this is the name that will show up on the graph):,WEST Forward 1 (pick 1),WEST Forward 2 (pick 1),WEST Forward 3 (pick 1),WEST Forward 4 (pick 1),WEST Forward 5 (pick 1),WEST Forward 6 (pick 1),WEST Forward 7 (pick 1),WEST Defence 1 (pick 1),WEST Defence 2 (pick 1),WEST Defence 3 (pick 1),EAST Forward 1 (pick 1),EAST Forward 2 (pick 1),EAST Forward 3 (pick 1),EAST Forward 4 (pick 1),EAST Forward 5 (pick 1),EAST Forward 6 (pick 1),EAST Forward 7 (pick 1),EAST Defence 1 (pick 1),EAST Defence 2 (pick 1),EAST Defence 3 (pick 1),Goalie WEST 1 (pick 1),Goalie WEST 2 (pick 1),Goalie EAST 1 (pick 1),Goalie EAST 2 (pick 1)
2025-04-22T12:52:40Z,yair.hayes@example.com,NATHAN MACKINNON COL,AUSTON MATTHEWS   TOR,TIM STUTZLE OTT,MATT DUCHENE    DAL,TYLER SEGUIN DAL,WILLIAM KARLSSON VGK,ANTON LUNDELL     FLA,DAWSON MERCER NJD,JASON ROBERTSON DAL,MATTHEW TKACHUK   FLA,BRANDON HAGEL TBL,JONATHAN DROUIN COL,BRAD MARCHAND FLA,DRAKE BATHERSON OTT,ZACH HYMAN EDM,JURAJ SLAFKOVSKY   MTL,TAYLOR HALL CAR,CONNOR MCMICHAEL WSH,JOSH MORRISSEY WPG,JAKE SANDERSON OTT,SETH JONES FLA,DOUGIE HAMILTON NJD,MORGAN RIELLY      TOR,NOAH HANIFIN VGK,VASILEVSKIY TBL,MARKSTROM NJD,ANDERSEN CAR,khadijah gorczany,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-04-22T13:02:29Z,miss.breanne.kris.phd@example.com,NATHAN MACKINNON COL,MARK SCHEIFELE WPG,JOHN TAVARES TOR,DYLAN STROME WSH,BROCK NELSON   COL,JACK ROSLOVIC   CAR,ANTON LUNDELL     FLA,CHARLIE COYLE     COL,NIKITA KUCHEROV TBL,ALEX OVECHKIN    WSH,KYLE CONNOR WPG,JONATHAN DROUIN COL,NIKOLAJ EHLERS WPG,JAMIE BENN         DAL,ALIAKSEI PROTAS WSH,PAVEL DOROFEYEV VGK,COLE PERFETTI WPG,BOBBY MCMANN TOR,CALE MAKAR COL,THOMAS HARLEY DAL,SETH JONES FLA,JOHN CARLSON     WSH,MORGAN RIELLY      TOR,BROCK FABER MIN,HELLEBUYCK WPG,HILL VGK,ANDERSEN CAR,paola cruickshank-swift,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-04-22T13:07:29Z,dr..ham.hamill@example.com,CONNOR MCDAVID EDM,AUSTON MATTHEWS   TOR,NICK SUZUKI MTL,SAM BENNETT FLA,TYLER SEGUIN DAL,ANTHONY CIRELLI TBL,ADAM LOWRY WPG,ADAM HENRIQUE EDM,MARTIN NECAS COL,JAKE GUENTZEL     TBL,WILLIAM NYLANDER     TOR,TOM WILSON WSH,COLE CAUFIELD      MTL,ANDREI SVECHNIKOV CAR,ZACH HYMAN EDM,PAVEL DOROFEYEV VGK,COREY PERRY EDM,JAKE NEIGHBOURS STL,EVAN BOUCHARD EDM,LANE HUTSON MTL,LUKE HUGHES NJD,JAKE WALMAN EDM,MIKE MATHESON MTL,DMITRY ORLOV CAR,SKINNER EDM,MONTEMBEAULT   MTL,FLEURY        MIN,ali hyatt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-04-22T13:15:37Z,dana.kuphalpaucek@example.com,NATHAN MACKINNON COL,ALEKSANDER BARKOV FLA,WYATT JOHNSTON DAL,SAM BENNETT FLA,BROCK NELSON   COL,ANTHONY CIRELLI TBL,ADAM LOWRY WPG,CHARLIE COYLE     COL,MIKKO RANTANEN DAL,MITCH MARNER    TOR,MIKAEL GRANLUND DAL,JONATHAN DROUIN COL,NIKOLAJ EHLERS WPG,JAMIE BENN         DAL,CARTER VERHAEGHE  FLA,PAVEL DOROFEYEV VGK,COLE PERFETTI WPG,IVAN BARBASHEV VGK,CALE MAKAR COL,DEVON TOEWS COL,SETH JONES FLA,AARON EKBLAD FLA,MATTIAS EKHOLM EDM,ESA LINDELL DAL,HELLEBUYCK WPG,HILL VGK,SAMSONOV        VGK,parker kovacek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-04-22T13:27:22Z,kinsley.bailey@example.com,JACK EICHEL VGK,MARK SCHEIFELE WPG,BRAYDEN POINT   TBL,DYLAN STROME WSH,PHILLIP DANAULT LAK,WILLIAM KARLSSON VGK,PIERRE-LUC DUBOIS WSH,CHARLIE COYLE     COL,NIKITA KUCHEROV TBL,MARK STONE VGK,BRANDON HAGEL TBL,GABRIEL VILARDI WPG,BRAD MARCHAND FLA,ANDREI SVECHNIKOV CAR,ALIAKSEI PROTAS WSH,PAVEL DOROFEYEV VGK,COLE PERFETTI WPG,IVAN BARBASHEV VGK,JOSH MORRISSEY WPG,DEVON TOEWS COL,DREW DOUGHTY       LAK,JOHN CARLSON     WSH,JAKOB CHYCHRUN WSH,NOAH HANIFIN VGK,HELLEBUYCK WPG,HILL VGK,ANDERSEN CAR,abbott parker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-04-22T13:34:42Z,kinsey.funkklocko@example.com,CONNOR MCDAVID EDM,ALEKSANDER BARKOV FLA,JOHN TAVARES TOR,DYLAN STROME WSH,TYLER SEGUIN DAL,JACK ROSLOVIC   CAR,ADAM LOWRY WPG,DAWSON MERCER NJD,JESPER BRATT NJD,MARK STONE VGK,KYLE CONNOR WPG,MATT BOLDY MIN,BRADY TKACHUK OTT,DRAKE BATHERSON OTT,MASON MARCHMENT DAL,TREVOR MOORE LAK,COREY PERRY EDM,BOBBY MCMANN TOR,CALE MAKAR COL,DEVON TOEWS COL,CAM FOWLER STL,JUSTIN FAULK STL,MORGAN RIELLY      TOR,GUSTAV FORSLING FLA,SKINNER EDM,KUEMPER LAK,FLEURY        MIN,ebony rodriguez,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-04-22T14:52:47Z,christina.vonrueden@example.com,CONNOR MCDAVID EDM,AUSTON MATTHEWS   TOR,ANZE KOPITAR LAK,RYAN NUGENT-HOPKINS EDM,SHANE PINTO OTT,JOEL ERIKSSON EK MIN,WILLIAM KARLSSON VGK,MAX DOMI TOR,MIKKO RANTANEN DAL,ALEX OVECHKIN    WSH,KYLE CONNOR WPG,JONATHAN DROUIN COL,COLE CAUFIELD      MTL,ANDREI SVECHNIKOV CAR,PATRIK LAINE MTL,CLAUDE GIROUX      OTT,COREY PERRY EDM,CONNOR MCMICHAEL WSH,SHEA THEODORE VGK,DARNELL NURSE       EDM,THOMAS CHABOT OTT,JOHN CARLSON     WSH,MIKE MATHESON MTL,NEAL PIONK        WPG,BLACKWOOD COL,MONTEMBEAULT   MTL,ULLMARK        OTT,wilkie schimmel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-04-22T17:57:01Z,federico.abshire@example.com,NATHAN MACKINNON COL,MARK SCHEIFELE WPG,BRAYDEN POINT   TBL,DYLAN STROME WSH,TOMAS HERTL VGK,PIERRE-LUC DUBOIS WSH,ADAM LOWRY WPG,CHARLIE COYLE     COL,JESPER BRATT NJD,ALEX OVECHKIN    WSH,KYLE CONNOR WPG,ADRIAN KEMPE     LAK,BRAD MARCHAND FLA,ANDREI SVECHNIKOV CAR,CARTER VERHAEGHE  FLA,LOGAN STANKOVEN CAR,ARTTURI LEHKONEN    COL,CONNOR MCMICHAEL WSH,CALE MAKAR COL,DEVON TOEWS COL,DREW DOUGHTY       LAK,DOUGIE HAMILTON NJD,JAKOB CHYCHRUN WSH,NEAL PIONK        WPG,HELLEBUYCK WPG,KUEMPER LAK,ANDERSEN CAR,elbert krajcik,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-04-23T08:11:36Z,maxie.howell@example.com,NATHAN MACKINNON COL,ALEKSANDER BARKOV FLA,JOHN TAVARES TOR,SAM BENNETT FLA,NICOLAS ROY VGK,WILLIAM KARLSSON VGK,PIERRE-LUC DUBOIS WSH,MAX DOMI TOR,NIKITA KUCHEROV TBL,MITCH MARNER    TOR,SAM REINHART FLA,GABRIEL VILARDI WPG,BRAD MARCHAND FLA,JAMIE BENN         DAL,ZACH HYMAN EDM,PAVEL DOROFEYEV VGK,ARTTURI LEHKONEN    COL,OLIVER BJORKSTRAND TBL,CALE MAKAR COL,DEVON TOEWS COL,SETH JONES FLA,AARON EKBLAD FLA,MORGAN RIELLY      TOR,NOAH HANIFIN VGK,HELLEBUYCK WPG,KOTCHETKOV CAR,FLEURY        MIN,willodean hintz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-04-23T09:02:21Z,gene.leannon@example.com,CONNOR MCDAVID EDM,AUSTON MATTHEWS   TOR,NICK SUZUKI MTL,RYAN NUGENT-HOPKINS EDM,TYLER SEGUIN DAL,WILLIAM KARLSSON VGK,ADAM LOWRY WPG,MAX DOMI TOR,MIKKO RANTANEN DAL,MATTHEW TKACHUK   FLA,SAM REINHART FLA,ADRIAN KEMPE     LAK,BRADY TKACHUK OTT,DRAKE BATHERSON OTT,ZACH HYMAN EDM,CLAUDE GIROUX      OTT,COLE PERFETTI WPG,IVAN BARBASHEV VGK,CALE MAKAR COL,JAKE SANDERSON OTT,DREW DOUGHTY       LAK,AARON EKBLAD FLA,MORGAN RIELLY      TOR,GUSTAV FORSLING FLA,SKINNER EDM,HILL VGK,ANDERSEN CAR,stanford shields-kunze,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
